aid,prn,t,rh,tanededt,minelv,maxelv,azi,dt,ahgt,sp,ptn,clr,pr,ms,vs,af,df
3,215,1408529823,10.863,2469.071,5.006,24.900,217.290,3230,0.095,19.909,3.517,6.430,3.960,59.872,636.762,11114.105,-1.668
3,219,1408566148,9.387,2571.816,5.013,24.902,246.507,3360,0.095,13.196,6.317,9.810,4.750,43.674,207.037,7313.843,-0.501
3,221,1408545363,9.291,-2078.661,5.068,18.191,247.375,2310,0.095,9.750,1.970,1.934,1.033,58.777,377.952,4240.277,-1.743
3,224,1408494028,12.139,2961.409,10.155,24.919,183.996,2420,0.095,7.475,1.602,1.195,1.013,67.010,439.372,3913.650,-0.232
3,225,1408500278,11.723,2529.380,5.007,24.939,212.940,3300,0.095,15.533,3.918,5.961,4.129,61.711,472.221,7613.662,-2.460
3,226,1408563083,9.716,-2472.406,5.090,24.994,194.149,3210,0.095,30.133,5.206,6.758,2.275,67.058,962.938,15622.353,-0.739
3,227,1408539253,12.000,-2595.201,5.081,24.956,219.036,3350,0.095,12.608,3.394,5.207,3.221,55.335,373.683,6981.307,-2.101
3,229,1408559883,9.667,2568.300,5.031,24.988,221.583,3350,0.095,17.074,5.474,8.674,3.702,56.243,411.762,9395.539,-0.781
3,230,1408533378,10.956,-2525.614,5.089,24.999,189.821,3280,0.095,19.263,3.667,4.703,2.611,65.246,710.409,9986.300,-2.318
3,233,1408568633,9.369,-2503.262,5.058,24.970,221.331,3250,0.095,21.972,6.067,8.238,4.132,65.847,652.047,10964.211,-0.279
