prn,elv,azi,gps_time,snr,ant
3,33,230,1408320748,42,0
3,33,230,1408320758,42,0
3,33,230,1408320768,41,0
3,33,230,1408320778,40,0
3,33,230,1408320788,41,0
3,33,230,1408320798,40,0
3,33,230,1408320808,39,0
3,32,229,1408320818,38,0
3,32,229,1408320828,39,0
3,32,229,1408320838,39,0
3,32,229,1408320848,41,0
3,32,229,1408320858,41,0
3,32,229,1408320868,42,0
3,32,229,1408320878,41,0
3,32,229,1408320888,41,0
3,32,229,1408320898,42,0
3,32,229,1408320908,41,0
3,32,229,1408320918,40,0
3,32,229,1408320928,39,0
3,32,229,1408320938,35,0
3,32,229,1408320948,29,0
3,32,229,1408320958,27,0
3,32,229,1408320968,36,0
3,32,229,1408320978,38,0
3,32,229,1408320988,39,0
3,32,229,1408320998,39,0
3,32,229,1408321008,39,0
3,31,228,1408321018,40,0
3,31,228,1408321028,42,0
3,31,228,1408321038,42,0
3,31,228,1408321048,43,0
3,31,228,1408321058,42,0
3,31,228,1408321068,42,0
3,31,228,1408321078,41,0
3,31,228,1408321088,40,0
3,31,228,1408321098,40,0
3,31,228,1408321108,39,0
3,30,228,1408321118,38,0
3,30,228,1408321128,38,0
3,30,228,1408321138,38,0
3,30,228,1408321148,37,0
3,30,228,1408321158,37,0
3,30,228,1408321168,36,0
3,30,228,1408321178,38,0
3,30,228,1408321188,39,0
3,30,228,1408321198,34,0
3,30,228,1408321208,36,0
3,30,228,1408321218,37,0
3,30,228,1408321228,36,0
3,30,228,1408321238,39,0
3,30,228,1408321248,39,0
3,30,228,1408321258,40,0
3,30,228,1408321268,41,0
3,30,228,1408321278,42,0
3,30,228,1408321288,41,0
3,30,228,1408321298,41,0
3,30,228,1408321308,41,0
3,29,227,1408321318,41,0
3,29,227,1408321328,42,0
3,29,227,1408321338,41,0
3,29,227,1408321348,41,0
3,29,227,1408321358,39,0
3,29,227,1408321368,38,0
3,29,227,1408321378,35,0
3,29,227,1408321388,30,0
3,29,227,1408321398,23,0
3,29,227,1408321408,35,0
3,28,227,1408321418,37,0
3,28,227,1408321428,40,0
3,28,227,1408321438,42,0
3,28,227,1408321448,42,0
3,28,227,1408321458,43,0
3,28,227,1408321468,42,0
3,28,227,1408321478,42,0
3,28,227,1408321488,41,0
3,28,227,1408321498,40,0
3,28,227,1408321508,41,0
3,28,227,1408321518,42,0
3,28,226,1408321528,42,0
3,28,226,1408321538,39,0
3,28,226,1408321548,36,0
3,28,226,1408321558,36,0
3,28,226,1408321568,36,0
3,28,226,1408321578,37,0
3,28,226,1408321588,38,0
3,28,226,1408321598,40,0
3,28,226,1408321608,39,0
3,28,226,1408321618,38,0
3,27,226,1408321628,39,0
3,27,226,1408321638,40,0
3,27,226,1408321648,40,0
3,27,226,1408321658,41,0
3,27,226,1408321668,41,0
3,27,226,1408321678,40,0
3,27,226,1408321688,40,0
3,27,226,1408321698,40,0
3,26,226,1408321708,41,0
3,26,226,1408321718,41,0
3,26,226,1408321728,42,0
3,26,226,1408321738,43,0
3,26,226,1408321748,43,0
3,26,226,1408321758,41,0
3,26,226,1408321768,38,0
3,26,226,1408321778,34,0
3,26,226,1408321788,27,0
3,26,226,1408321798,31,0
3,26,226,1408321808,35,0
3,26,226,1408321818,40,0
3,25,225,1408321828,40,0
3,25,225,1408321838,41,0
3,25,225,1408321848,43,0
3,25,225,1408321858,43,0
3,25,225,1408321868,43,0
3,25,225,1408321878,43,0
3,25,225,1408321888,43,0
3,25,225,1408321898,42,0
3,25,225,1408321908,42,0
3,25,225,1408321918,41,0
3,25,225,1408321928,40,0
3,25,225,1408321938,36,0
3,25,225,1408321948,30,0
3,25,225,1408321958,29,0
3,25,225,1408321968,35,0
3,25,225,1408321978,37,0
3,25,225,1408321988,37,0
3,25,225,1408321998,40,0
3,25,225,1408322008,41,0
3,25,225,1408322018,41,0
3,24,225,1408322028,40,0
3,24,225,1408322038,40,0
3,24,225,1408322048,37,0
3,24,225,1408322058,37,0
3,24,225,1408322068,38,0
3,24,225,1408322078,40,0
3,24,225,1408322088,41,0
3,24,225,1408322098,42,0
3,24,225,1408322108,43,0
3,24,225,1408322118,43,0
3,23,224,1408322128,41,0
3,23,224,1408322138,40,0
3,23,224,1408322148,41,0
3,23,224,1408322158,40,0
3,23,224,1408322168,38,0
3,23,224,1408322178,37,0
3,23,224,1408322188,35,0
3,23,224,1408322198,32,0
3,23,224,1408322208,34,0
3,23,224,1408322218,37,0
3,23,224,1408322228,37,0
3,23,224,1408322238,38,0
3,23,224,1408322248,40,0
3,23,224,1408322258,42,0
3,23,224,1408322268,43,0
3,23,224,1408322278,43,0
3,23,224,1408322288,43,0
3,23,224,1408322298,42,0
3,23,224,1408322308,40,0
3,23,224,1408322318,38,0
3,22,224,1408322328,38,0
3,22,224,1408322338,37,0
3,22,224,1408322348,36,0
3,22,224,1408322358,35,0
3,22,224,1408322368,36,0
3,22,224,1408322378,36,0
3,22,224,1408322388,36,0
3,22,224,1408322398,39,0
3,22,224,1408322408,41,0
3,22,224,1408322418,40,0
3,21,223,1408322428,40,0
3,21,223,1408322438,39,0
3,21,223,1408322448,40,0
3,21,223,1408322458,40,0
3,21,223,1408322468,38,0
3,21,223,1408322478,36,0
3,21,223,1408322488,36,0
3,21,223,1408322498,37,0
3,21,223,1408322508,38,0
3,21,223,1408322518,39,0
3,21,223,1408322528,40,0
3,21,223,1408322538,41,0
3,21,223,1408322548,41,0
3,21,223,1408322558,42,0
3,21,223,1408322568,42,0
3,21,223,1408322578,41,0
3,21,223,1408322588,37,0
3,21,223,1408322598,34,0
3,21,223,1408322608,32,0
3,21,223,1408322618,31,0
3,21,223,1408322628,33,0
3,20,223,1408322638,38,0
3,20,223,1408322648,40,0
3,20,223,1408322658,40,0
3,20,223,1408322668,42,0
3,20,223,1408322678,42,0
3,20,223,1408322688,43,0
3,20,223,1408322698,43,0
3,20,223,1408322708,42,0
3,20,223,1408322718,41,0
3,20,223,1408322728,41,0
3,19,222,1408322738,40,0
3,19,222,1408322748,36,0
3,19,222,1408322758,35,0
3,19,222,1408322768,36,0
3,19,222,1408322778,37,0
3,19,222,1408322788,37,0
3,19,222,1408322798,37,0
3,19,222,1408322808,37,0
3,19,222,1408322818,38,0
3,19,222,1408322828,39,0
3,18,222,1408322838,40,0
3,18,222,1408322848,41,0
3,18,222,1408322858,41,0
3,18,222,1408322868,41,0
3,18,222,1408322878,39,0
3,18,222,1408322888,39,0
3,18,222,1408322898,40,0
3,18,222,1408322908,40,0
3,18,222,1408322918,38,0
3,18,222,1408322928,36,0
3,18,222,1408322938,36,0
3,18,222,1408322948,36,0
3,18,222,1408322958,37,0
3,18,222,1408322968,38,0
3,18,222,1408322978,41,0
3,18,222,1408322988,41,0
3,18,222,1408322998,42,0
3,18,222,1408323008,42,0
3,18,222,1408323018,42,0
3,18,222,1408323028,38,0
3,17,222,1408323038,33,0
3,17,222,1408323048,29,0
3,17,222,1408323058,37,0
3,17,222,1408323068,41,0
3,17,222,1408323078,43,0
3,17,222,1408323088,43,0
3,17,222,1408323098,42,0
3,17,222,1408323108,42,0
3,17,222,1408323118,42,0
3,17,222,1408323128,39,0
3,16,221,1408323138,40,0
3,16,221,1408323148,38,0
3,16,221,1408323158,36,0
3,16,221,1408323168,37,0
3,16,221,1408323178,37,0
3,16,221,1408323188,37,0
3,16,221,1408323198,37,0
3,16,221,1408323208,37,0
3,16,221,1408323218,37,0
3,16,221,1408323228,37,0
3,16,221,1408323238,37,0
3,16,221,1408323248,36,0
3,16,221,1408323258,39,0
3,16,221,1408323268,40,0
3,16,221,1408323278,41,0
3,16,221,1408323288,43,0
3,16,221,1408323298,42,0
3,16,221,1408323308,43,0
3,16,221,1408323318,42,0
3,16,221,1408323328,39,0
3,15,221,1408323338,35,0
3,15,221,1408323348,34,0
3,15,221,1408323358,33,0
3,15,221,1408323368,37,0
3,15,221,1408323378,36,0
3,15,221,1408323388,37,0
3,15,221,1408323398,39,0
3,15,221,1408323408,41,0
3,15,221,1408323418,43,0
3,15,221,1408323428,44,0
3,14,221,1408323438,43,0
3,14,221,1408323448,42,0
3,14,221,1408323458,37,0
3,14,221,1408323468,33,0
3,14,221,1408323478,36,0
3,14,221,1408323488,40,0
3,14,221,1408323498,40,0
3,14,221,1408323508,39,0
3,14,221,1408323518,38,0
3,14,221,1408323528,38,0
3,14,221,1408323538,37,0
3,14,221,1408323548,40,0
3,14,221,1408323558,40,0
3,14,221,1408323568,38,0
3,14,221,1408323578,36,0
3,14,221,1408323588,34,0
3,14,221,1408323598,36,0
3,14,221,1408323608,41,0
3,14,221,1408323618,43,0
3,14,221,1408323628,43,0
3,14,221,1408323638,42,0
3,13,220,1408323648,40,0
3,13,220,1408323658,30,0
3,13,220,1408323668,35,0
3,13,220,1408323678,39,0
3,13,220,1408323688,43,0
3,13,220,1408323698,42,0
3,13,220,1408323708,39,0
3,13,220,1408323718,33,0
3,13,220,1408323728,31,0
3,13,220,1408323738,41,0
3,12,220,1408323748,43,0
3,12,220,1408323758,45,0
3,12,220,1408323768,45,0
3,12,220,1408323778,43,0
3,12,220,1408323788,36,0
3,12,220,1408323798,22,0
3,12,220,1408323808,36,0
3,12,220,1408323818,39,0
3,12,220,1408323828,42,0
3,12,220,1408323838,40,0
3,11,220,1408323848,37,0
3,11,220,1408323858,37,0
3,11,220,1408323868,40,0
3,11,220,1408323878,43,0
3,11,220,1408323888,44,0
3,11,220,1408323898,44,0
3,11,220,1408323908,41,0
3,11,220,1408323918,35,0
3,11,220,1408323928,24,0
3,11,220,1408323938,38,0
3,11,220,1408323948,42,0
3,11,220,1408323958,44,0
3,11,220,1408323968,43,0
3,11,220,1408323978,40,0
3,11,220,1408323988,32,0
3,11,220,1408323998,33,0
3,11,220,1408324008,39,0
3,11,220,1408324018,42,0
3,11,220,1408324028,44,0
3,11,220,1408324038,43,0
3,10,220,1408324048,40,0
3,10,220,1408324058,33,0
3,10,220,1408324068,35,0
3,10,220,1408324078,40,0
3,10,220,1408324088,41,0
3,10,220,1408324098,42,0
3,10,220,1408324108,40,0
3,10,220,1408324118,38,0
3,10,220,1408324128,39,0
3,10,220,1408324138,42,0
3,9,219,1408324148,42,0
3,9,219,1408324158,42,0
3,9,219,1408324168,40,0
3,9,219,1408324178,33,0
3,9,219,1408324188,29,0
3,9,219,1408324198,40,0
3,9,219,1408324208,43,0
3,9,219,1408324218,45,0
3,9,219,1408324228,44,0
3,9,219,1408324238,43,0
3,9,219,1408324248,39,0
3,9,219,1408324258,32,0
3,9,219,1408324268,35,0
3,9,219,1408324278,39,0
3,9,219,1408324288,40,0
3,9,219,1408324298,40,0
3,9,219,1408324308,37,0
3,9,219,1408324318,35,0
3,9,219,1408324328,39,0
3,9,219,1408324338,43,0
3,8,219,1408324348,43,0
3,8,219,1408324358,43,0
3,8,219,1408324368,40,0
3,8,219,1408324378,34,0
3,8,219,1408324388,30,0
3,8,219,1408324398,39,0
3,8,219,1408324408,42,0
3,8,219,1408324418,43,0
3,8,219,1408324428,43,0
3,8,219,1408324438,40,0
3,7,219,1408324448,34,0
3,7,219,1408324458,32,0
3,7,219,1408324468,40,0
3,7,219,1408324478,41,0
3,7,219,1408324488,43,0
3,7,219,1408324498,42,0
3,7,219,1408324508,40,0
3,7,219,1408324518,34,0
3,7,219,1408324528,36,0
3,7,219,1408324538,39,0
3,7,219,1408324548,40,0
3,6,219,1408324558,39,0
3,6,219,1408324568,37,0
3,6,219,1408324578,33,0
3,6,219,1408324588,35,0
3,6,219,1408324598,39,0
3,6,219,1408324608,41,0
3,6,219,1408324618,42,0
3,6,219,1408324628,41,0
3,6,219,1408324638,38,0
3,6,219,1408324648,31,0
3,6,219,1408324658,30,0
3,6,219,1408324668,39,0
3,6,219,1408324678,43,0
3,6,219,1408324688,43,0
3,6,219,1408324698,42,0
3,6,219,1408324708,39,0
3,6,219,1408324718,35,0
3,6,219,1408324728,35,0
3,6,219,1408324738,38,0
3,6,219,1408324748,39,0
3,5,218,1408324758,42,0
3,5,218,1408324768,40,0
3,5,218,1408324778,34,0
3,5,218,1408324788,33,0
3,5,218,1408324798,39,0
3,5,218,1408324808,42,0
3,5,218,1408324818,43,0
3,5,218,1408324828,43,0
3,5,218,1408324838,41,0
3,5,218,1408324848,35,0
3,4,218,1408324868,34,0
3,4,218,1408324878,39,0
3,4,218,1408324888,41,0
3,4,218,1408324898,41,0
3,4,218,1408324908,39,0
3,4,218,1408324918,35,0
3,4,218,1408324928,36,0
3,4,218,1408324938,39,0
3,4,218,1408324948,41,0
3,4,218,1408324958,42,0
3,4,218,1408324968,42,0
3,4,218,1408324978,38,0
3,4,218,1408324988,30,0
3,4,218,1408324998,30,0
3,4,218,1408325008,39,0
3,4,218,1408325018,42,0
3,4,218,1408325028,42,0
3,4,218,1408325038,41,0
3,4,218,1408325048,38,0
3,3,218,1408325058,34,0
3,3,218,1408325068,34,0
3,3,218,1408325078,40,0
3,3,218,1408325088,41,0
3,3,218,1408325098,42,0
3,3,218,1408325108,40,0
3,3,218,1408325118,37,0
3,3,218,1408325128,28,0
3,3,218,1408325138,34,0
3,3,218,1408325148,40,0
3,2,218,1408325158,43,0
3,2,218,1408325168,44,0
3,2,218,1408325178,43,0
3,2,218,1408325188,40,0
3,2,218,1408325198,34,0
3,2,218,1408325208,29,0
3,2,218,1408325218,36,0
3,2,218,1408325228,41,0
3,2,218,1408325238,41,0
3,2,218,1408325248,42,0
3,2,218,1408325258,40,0
3,2,218,1408325268,34,0
3,2,218,1408325278,21,0
3,2,218,1408325288,34,0
3,2,218,1408325298,37,0
3,2,218,1408325308,41,0
3,2,218,1408325318,42,0
3,2,218,1408325328,39,0
3,2,218,1408325338,38,0
3,2,218,1408325348,28,0
3,1,217,1408325358,28,0
3,1,217,1408325368,38,0
3,1,217,1408325378,42,0
3,1,217,1408325388,41,0
3,1,217,1408325398,42,0
3,1,217,1408325408,39,0
3,1,217,1408325418,33,0
3,1,217,1408325428,23,0
3,1,217,1408325438,30,0
3,1,217,1408325448,39,0
3,0,217,1408325458,39,0
3,0,217,1408325468,43,0
3,0,217,1408325478,42,0
3,0,217,1408325488,39,0
3,0,217,1408325498,29,0
3,0,217,1408325508,22,0
3,0,217,1408325518,30,0
3,0,217,1408325528,37,0
3,0,217,1408325538,43,0
3,0,217,1408325548,41,0
3,0,217,1408325558,45,0
3,0,217,1408325568,39,0
3,0,217,1408325578,32,0
3,0,217,1408325588,24,0
3,0,217,1408325598,18,0
3,0,217,1408325618,15,0
3,0,217,1408325638,14,0
3,0,217,1408325658,13,0
3,14,221,1408323618,43,0
3,14,221,1408323628,43,0
3,14,221,1408323638,42,0
3,13,220,1408323648,40,0
3,13,220,1408323658,30,0
3,13,220,1408323668,35,0
