prn,elv,azi,gps_time,snr,ant
3.0,14.55128124647149,221.0,1408323438.0,43.0,0.0
3.0,14.48089470786777,221.0,1408323448.0,42.0,0.0
3.0,14.410513998271545,221.0,1408323458.0,37.0,0.0
3.0,14.340139336321494,221.0,1408323468.0,33.0,0.0
3.0,14.269770940656295,221.0,1408323478.0,36.0,0.0
3.0,14.19940902991464,221.0,1408323488.0,40.0,0.0
3.0,14.129053822735216,221.0,1408323498.0,40.0,0.0
3.0,14.058705537756694,221.0,1408323508.0,39.0,0.0
3.0,13.988364393617772,221.0,1408323518.0,38.0,0.0
3.0,13.918030608957123,221.0,1408323528.0,38.0,0.0
3.0,13.847704402413434,221.0,1408323538.0,37.0,0.0
3.0,13.77738599262539,221.0,1408323548.0,40.0,0.0
3.0,13.707075598231672,221.0,1408323558.0,40.0,0.0
3.0,13.63677343787097,221.0,1408323568.0,38.0,0.0
3.0,13.566479730181957,221.0,1408323578.0,36.0,0.0
3.0,13.496194693803323,221.0,1408323588.0,34.0,0.0
3.0,13.425918547373755,221.0,1408323598.0,36.0,0.0
3.0,13.355651501316038,221.0,1408323608.0,41.0,0.0
3.0,13.285393705332417,221.0,1408323618.0,43.0,0.0
3.0,13.215145281909988,221.0,1408323628.0,43.0,0.0
3.0,13.144906353407487,221.0,1408323638.0,42.0,0.0
3.0,13.07467704218364,220.0,1408323648.0,40.0,0.0
3.0,13.00445747059717,220.0,1408323658.0,30.0,0.0
3.0,12.93424776100682,220.0,1408323668.0,35.0,0.0
3.0,12.864048035771308,220.0,1408323678.0,39.0,0.0
3.0,12.793858417249368,220.0,1408323688.0,43.0,0.0
3.0,12.723679027799728,220.0,1408323698.0,42.0,0.0
3.0,12.65350998978112,220.0,1408323708.0,39.0,0.0
3.0,12.583351425552273,220.0,1408323718.0,33.0,0.0
3.0,12.513203457471914,220.0,1408323728.0,31.0,0.0
3.0,12.44306620789877,220.0,1408323738.0,41.0,0.0
3.0,12.372939799191581,220.0,1408323748.0,43.0,0.0
3.0,12.302824353709063,220.0,1408323758.0,45.0,0.0
3.0,12.232719993809951,220.0,1408323768.0,45.0,0.0
3.0,12.162626841852978,220.0,1408323778.0,43.0,0.0
3.0,12.092545020196871,220.0,1408323788.0,36.0,0.0
3.0,12.022474651200351,220.0,1408323798.0,22.0,0.0
3.0,11.952415857222165,220.0,1408323808.0,36.0,0.0
3.0,11.882368760621029,220.0,1408323818.0,39.0,0.0
3.0,11.812333483755673,220.0,1408323828.0,42.0,0.0
3.0,11.74231014898483,220.0,1408323838.0,40.0,0.0
3.0,11.672298878667235,220.0,1408323848.0,37.0,0.0
3.0,11.602299795161601,220.0,1408323858.0,37.0,0.0
3.0,11.532313020826672,220.0,1408323868.0,40.0,0.0
3.0,11.462338678021169,220.0,1408323878.0,43.0,0.0
3.0,11.39237688910383,220.0,1408323888.0,44.0,0.0
3.0,11.32242777643338,220.0,1408323898.0,44.0,0.0
3.0,11.252491462368544,220.0,1408323908.0,41.0,0.0
3.0,11.182568069268056,220.0,1408323918.0,35.0,0.0
3.0,11.112657719490645,220.0,1408323928.0,24.0,0.0
3.0,11.042760535395043,220.0,1408323938.0,38.0,0.0
3.0,10.972876639339972,220.0,1408323948.0,42.0,0.0
3.0,10.903006153684167,220.0,1408323958.0,44.0,0.0
3.0,10.83314920078636,220.0,1408323968.0,43.0,0.0
3.0,10.763305903005273,220.0,1408323978.0,40.0,0.0
3.0,10.693476382699638,220.0,1408323988.0,32.0,0.0
3.0,10.623660762228186,220.0,1408323998.0,33.0,0.0
3.0,10.553859163949648,220.0,1408324008.0,39.0,0.0
3.0,10.484071710222747,220.0,1408324018.0,42.0,0.0
3.0,10.414298523406218,220.0,1408324028.0,44.0,0.0
3.0,10.344539725858791,220.0,1408324038.0,43.0,0.0
3.0,10.274795439939192,220.0,1408324048.0,40.0,0.0
3.0,10.205065788006149,220.0,1408324058.0,33.0,0.0
3.0,10.135350892418396,220.0,1408324068.0,35.0,0.0
3.0,10.065650875534658,220.0,1408324078.0,40.0,0.0
3.0,9.99596585971367,220.0,1408324088.0,41.0,0.0
3.0,9.926295967314157,220.0,1408324098.0,42.0,0.0
3.0,9.85664132069485,220.0,1408324108.0,40.0,0.0
3.0,9.787002042214475,220.0,1408324118.0,38.0,0.0
3.0,9.717378254231768,220.0,1408324128.0,39.0,0.0
3.0,9.647770079105452,220.0,1408324138.0,42.0,0.0
3.0,9.57817763919426,219.0,1408324148.0,42.0,0.0
3.0,9.508601056856921,219.0,1408324158.0,42.0,0.0
3.0,9.439040454452163,219.0,1408324168.0,40.0,0.0
3.0,9.369495954338715,219.0,1408324178.0,33.0,0.0
3.0,9.299967678875312,219.0,1408324188.0,29.0,0.0
3.0,9.230455750420674,219.0,1408324198.0,40.0,0.0
3.0,9.160960291333536,219.0,1408324208.0,43.0,0.0
3.0,9.09148142397263,219.0,1408324218.0,45.0,0.0
3.0,9.02201927069668,219.0,1408324228.0,44.0,0.0
3.0,8.952573953864412,219.0,1408324238.0,43.0,0.0
3.0,8.883145595834566,219.0,1408324248.0,39.0,0.0
3.0,8.813734318965867,219.0,1408324258.0,32.0,0.0
3.0,8.744340245617042,219.0,1408324268.0,35.0,0.0
