aid,prn,t,rh,tanededt,minelv,maxelv,azi,dt,ahgt,sp,ptn,clr,pr,ms,vs,af,df
0,20,1408325057,1.882,4237.870,14.133,24.950,354.325,2150,0.185,1.934,2.943,2.244,1.211,9.503,15.345,731.506,-0.152
0,20,1408333783,5.920,-2962.710,5.079,24.959,296.334,3670,0.185,12.996,4.340,3.518,1.165,60.916,567.800,13758.641,-0.787
0,20,1408362673,12.549,2143.341,5.047,24.919,189.646,2790,0.185,16.724,4.418,3.635,1.133,96.199,928.077,8604.591,-1.672
0,20,1408378272,1.978,-2148.059,5.051,24.977,98.000,2820,0.185,1.777,4.829,4.039,1.002,6.269,10.518,1378.124,0.525
0,21,1408339488,1.577,2168.011,5.047,24.876,141.363,2800,0.185,8.557,5.208,4.472,1.073,31.773,214.691,7989.123,0.356
0,21,1408353348,0.532,-2408.491,5.120,24.940,57.659,3100,0.185,1.898,6.540,5.558,1.051,5.847,7.805,2380.115,0.130
0,21,1408386039,4.802,2509.160,5.067,24.972,322.584,3040,0.185,2.900,4.459,3.534,1.348,18.599,24.737,2448.617,0.054
0,21,1408398498,10.740,-2515.476,5.026,24.993,247.178,3240,0.185,29.514,5.911,5.077,1.767,103.427,1803.608,16058.456,-5.330
0,22,1408340003,8.862,2157.853,5.022,24.923,257.429,2810,0.185,31.817,5.638,4.654,1.574,100.085,2160.718,16569.370,-2.644
0,22,1408356033,11.235,-2163.463,5.077,24.989,166.301,2810,0.185,11.581,4.553,3.698,1.067,65.099,448.924,7189.019,1.415
0,22,1408385224,3.525,3495.360,8.273,24.932,57.211,3150,0.185,1.275,2.786,2.174,1.024,8.538,8.845,550.329,-0.040
0,22,1408394123,0.539,-3537.181,7.429,24.960,183.578,3370,0.185,1.217,2.537,1.850,1.023,7.836,11.345,1453.152,-0.227
0,23,1408335779,9.806,1581.051,5.133,14.008,48.842,1480,0.185,0.556,2.615,2.145,1.307,4.791,1.987,95.919,-0.100
0,23,1408337827,2.827,4458.827,16.529,24.883,40.145,1720,0.185,1.985,3.447,2.997,1.369,10.727,8.443,747.622,-0.812
0,23,1408346222,10.385,-2940.256,5.064,24.996,343.487,3650,0.185,1.253,3.086,2.267,1.050,9.788,12.704,1507.592,0.160
0,23,1408377278,10.720,2127.998,5.031,24.947,242.441,2780,0.185,32.996,5.652,4.502,1.611,105.712,2338.510,13722.630,-3.747
0,23,1408393313,6.032,-2078.329,5.093,24.990,148.000,2700,0.185,10.838,5.480,4.127,1.432,42.907,262.439,5918.039,-0.127
0,24,1408344750,2.456,2670.395,5.513,24.945,325.986,3110,0.185,2.515,4.723,4.022,1.460,14.819,18.471,1683.169,0.640
0,24,1408355948,6.201,-2580.213,5.056,24.998,252.779,3300,0.185,16.162,3.910,3.238,1.250,80.811,1024.929,13111.416,2.173
0,24,1408383951,9.753,2228.244,5.049,24.898,148.107,2890,0.185,8.817,3.842,3.229,1.014,42.642,341.052,6888.535,2.439
0,24,1408397080,4.714,-2634.089,7.889,24.941,63.031,2560,0.185,1.165,2.908,2.433,1.160,7.156,5.278,559.188,0.055
0,25,1408322512,1.646,-2347.615,5.134,24.949,48.767,3000,0.185,1.373,4.857,4.316,1.174,4.779,5.794,1064.924,0.138
0,25,1408355848,0.771,2384.729,5.122,24.945,314.451,2980,0.185,3.774,4.828,4.054,1.061,22.938,42.077,4089.632,0.235
0,25,1408368313,12.528,-2371.427,5.081,24.948,234.435,3050,0.185,19.651,4.152,3.396,1.088,91.556,1332.617,11413.664,-2.145
0,25,1408396122,1.585,2480.777,6.353,24.902,130.063,2770,0.185,6.392,6.312,5.171,1.088,19.156,79.455,5640.848,-1.196
0,26,1408331568,3.652,-3575.951,19.139,24.950,86.686,850,0.185,2.466,3.338,3.253,1.287,7.412,6.387,113.372,0.649
